"id","name","userCount","sitesCount","name","isngpdevice"
1,"Atlas Hotels",1,8,"U.K.",
4,"Smulders",3,1,"U.K.",
5,"Bucher Municipal Ltd",3,3,"U.K.",
8,"GAP Group",2,1,"U.K.",
37,"Alnwick Gardens",4,1,"U.K.",
41,"Cockerill",3,1,"U.K.",
45,"Castle Craig",2,1,"U.K.",
46,"Juratek",3,1,"U.K.",
47,"Leeds Grammar School",2,1,"U.K.",
48,"Lowrie Foods Ltd",2,1,"U.K.",
49,"MGI Coutier",4,1,"U.K.",
50,"Top Tubes",2,1,"U.K.",
51,"walker bros",2,1,"U.K.",
53,"pennine healthcare",2,1,"U.K.",
58,"Furniss and white",2,1,"U.K.",
60,"Careport",2,4,"U.K.",
62,"Finsbury Foods Group",56,8,"U.K.",
63,"Bulldog Products",4,1,"U.K.",
64,"Glen Grants Distillery",3,1,"U.K.",
65,"ADM Pressings",6,1,"U.K.",
66,"ATC Group",4,1,"U.K.",
67,"Torbridge School Plymouth",2,1,"U.K.",
69,"Walker Filtration",3,1,"U.K.",
70,"Stewarts of Tayside",2,1,"U.K.",
72,"Klinger",3,1,"U.K.",
73,"Amphenol Limited",2,1,"U.K.",
74,"Plastic Engineering Solutions Ltd",4,1,"U.K.",
76,"Kinnerton",0,1,"U.K.",
77,"RCI",7,4,"U.K.",
79,"Buzzworks Holdings",2,13,"U.K.",
80,"VAN HAGE & COMPANY LIMITED",3,1,"U.K.",
81,"Plumpton Racecourse",7,1,"U.K.",
82,"FRIMPEKS LIMITED",2,1,"U.K.",
83,"KENNELPAK LIMITED",7,1,"U.K.",
84,"Indivior UK Ltd",2,1,"U.K.",
85,"Chellaston Academy",2,1,"U.K.",
86,"Cambion Electronics",3,1,"U.K.",
87,"Altrad Services",6,4,"U.K.",
88,"Enjoy East Lothian Limited",4,5,"U.K.",
89,"PCI Pharma Services",9,3,"U.K.",
91,"Nazareth Care",1,1,"U.K.",
92,"City Fibre",1,15,"U.K.",
93,"Stena Drilling",3,1,"U.K.",
94,"Fresh Service Limited",2,1,"U.K.",
95,"Lovett Care Limited",8,1,"U.K.",
96,"Northumberland Estates",4,1,"U.K.",
97,"Adrian Scripps",3,1,"U.K.",
98,"Durham Foods Ltd",3,1,"U.K.",
99,"Winder Power",3,1,"U.K.",
100,"Titanic Hotel",0,1,"U.K.",
