"siteId","siteName","customerName","metersCount","address"
102,"Unit 9","Bucher Municipal Ltd",1,
127,"Northumberland Estates","Alnwick Gardens",1,
187,"GAP House","GAP Group",1,
193,"Wallsend","Smulders",1,
195,"R.S Cockerill (York) Ltd","Cockerill",1,
206,"Blyth Bridge","Castle Craig",1,
208,"Sidings House Sidings Court","Juratek",1,
211,"Alwoodley Gates","Leeds Grammar School",1,
213,"Lowrie Foods Ltd","Lowrie Foods Ltd",1,
215,"MGI COUTIER UK LTD","MGI Coutier",1,
217,"Smith Road","Top Tubes",1,
219,"Walker Bros (Elland) Ltd","walker bros",2,
225,"City Gate","pennine healthcare",1,
246,"Furniss And White (Foundries) Ltd 1","Furniss and white",1,
263,"Derwent","Careport",1,
264,"The Grove","Careport",1,
265,"Sovereign Lodge Large","Careport",1,
267,"Briardene","Careport",1,
272,"Unit 1 & 7","Bucher Municipal Ltd",1,
273,"Units 2,3,4","Bucher Municipal Ltd",1,
30093,"Holiday Inn Express","Atlas Hotels",1,
30138,"Kara Foods - Manchester","Finsbury Foods Group",3,
30139,"Fletchers Bakery-Sheffield","Finsbury Foods Group",2,
30141,"Ultrapharm - Pontypool","Finsbury Foods Group",2,
30142,"Johnstones Food Service Ltd","Finsbury Foods Group",2,
30143,"Lightbody Celebration Cakes - Hamilton","Finsbury Foods Group",3,
30146,"Bulldog Products Limited 1","Bulldog Products",1,
30147,"Glen Grants Distillery","Glen Grants Distillery",1,
30148,"Scotswood Road","ADM Pressings",2,
30149,"ATC Group Site","ATC Group",1,
30150,"Plymouth","Torbridge School Plymouth",1,
30151,"Birtley Road","Walker Filtration",1,
30152,"Stewarts of Tayside Site","Stewarts of Tayside",1,
30153,"Klinger Site","Klinger",1,
30154,"Amphenol Site","Amphenol Limited",1,
30155,"Plastic Engineering Site","Plastic Engineering Solutions Ltd",1,
30156,"NGP Websmart - Chennai","",1,
30157,"Kinnerton Fakenham","Kinnerton",2,
30159,"RCI Milton Keynes","RCI",2,
30160,"RCI Wellingborough","RCI",1,
30161,"RCI Nuneaton","RCI",1,
30162,"RCI Warrington","RCI",1,
30163,"NGP WEBSMART D02","",0,
30164,"Scotts Largs","Buzzworks Holdings",1,
30166,"Scotts Troon","Buzzworks Holdings",1,
30167,"Treehouse Offices","Buzzworks Holdings",1,
30168,"Longhouse Kilmarnock","Buzzworks Holdings",1,
30169,"Lido Troon","Buzzworks Holdings",1,
30170,"Cornerhouse Kilwinning","Buzzworks Holdings",1,
30171,"Coachhouse Bridge of Weir","Buzzworks Holdings",1,
30172,"Millhouse Kilmarnock","Buzzworks Holdings",1,
30173,"Lido Prestwick","Buzzworks Holdings",1,
30174,"Bakehouse Prestwick","Buzzworks Holdings",1,
30175,"Treehouse Pub","Buzzworks Holdings",1,
30176,"AMWELL HILL","VAN HAGE & COMPANY LIMITED",1,
30177,"Plumpton - Lewes","Plumpton Racecourse",1,
30178,"CARLTON PARK INDUSTRIAL ESTATE","FRIMPEKS LIMITED",1,
30179,"Kennelpak Site","KENNELPAK LIMITED",1,
30180,"Project Blue","Indivior UK Ltd",1,
30181,"Peak Multi Academy Trust","Chellaston Academy",1,
30182,"Cambion Electronics","Cambion Electronics",1,
30183,"Cape Industrial - Goldthorpe","Altrad Services",1,
30184,"Aubigny Sports Centre","Enjoy East Lothian Limited",1,
30185,"Dunbar Leisure Pool","Enjoy East Lothian Limited",1,
30186,"Loch Centre Pool","Enjoy East Lothian Limited",1,
30187,"North Berwick Sports Centre","Enjoy East Lothian Limited",1,
30188,"PCI Hay on Wye","PCI Pharma Services",6,
30189,"PCI Bridgend","PCI Pharma Services",6,
30190,"PCI Tredegar","PCI Pharma Services",1,
30191,"Nicholas & Harris Ltd - Salisbury","Finsbury Foods Group",4,
30193,"HUD434 Huddersfield IVS","City Fibre",1,
30194,"ED1194 Edinburgh South Gyle","City Fibre",1,
30195,"ED1169 Edinburgh Salamander","City Fibre",1,
30196,"LEE1959 Leeds Intercity Way","City Fibre",1,
30197,"HUD435 Huddersfield QM","City Fibre",1,
30198,"PB1344 Peterborough Lincoln Road","City Fibre",1,
30199,"PB1353 Peterborough Bakewell Road","City Fibre",1,
30200,"COV744 - Coventry - Little Heath","City Fibre",1,
30201,"COV745 Coventry Hotchkiss","City Fibre",1,
30202,"COV746 Coventry Earlsdon Rugby","City Fibre",1,
30203,"ED1193 Edinburgh Peffermill","City Fibre",1,
30204,"ED1195 Edinburgh Barnton","City Fibre",1,
30205,"STR80 Stirling Borrowmeadow Road","City Fibre",1,
30206,"ABD860 - Aberdeen - Hareness","City Fibre",1,
30207,"LEE855 Leeds Lockwood Way","City Fibre",1,
30208,"Meadowmill sports Centre","Enjoy East Lothian Limited",1,
30209,"Ullevi House","Stena Drilling",3,
30210,"Darenth Hill","Fresh Service Limited",1,
30211,"Twyford House","Lovett Care Limited",1,
30212,"Memory Lane Cakes - Cardiff","Finsbury Foods Group",4,
30213,"Alnwick Castle","Northumberland Estates",1,
